Protein.IDs	Fasta.headers	Razor...unique.peptides.Prn1_1	Razor...unique.peptides.Prn1_2	Razor...unique.peptides.Prn1_3	Razor...unique.peptides.Prn1_4	Razor...unique.peptides.Prn1_H2O2_1	Razor...unique.peptides.Prn1_H2O2_2	Razor...unique.peptides.Prn1_H2O2_3	Razor...unique.peptides.Prn1_H2O2_4	Razor...unique.peptides.WT_H2O2_1	Razor...unique.peptides.WT_H2O2_2	Razor...unique.peptides.WT_H2O2_3	Razor...unique.peptides.WT_H2O2_4	Razor...unique.peptides.WT1	Razor...unique.peptides.WT2	Razor...unique.peptides.WT3	Razor...unique.peptides.WT4	Unique.peptides.Prn1_1	Unique.peptides.Prn1_2	Unique.peptides.Prn1_3	Unique.peptides.Prn1_4	Unique.peptides.Prn1_H2O2_1	Unique.peptides.Prn1_H2O2_2	Unique.peptides.Prn1_H2O2_3	Unique.peptides.Prn1_H2O2_4	Unique.peptides.WT_H2O2_1	Unique.peptides.WT_H2O2_2	Unique.peptides.WT_H2O2_3	Unique.peptides.WT_H2O2_4	Unique.peptides.WT1	Unique.peptides.WT2	Unique.peptides.WT3	Unique.peptides.WT4	Intensity.Prn1_1	Intensity.Prn1_2	Intensity.Prn1_3	Intensity.Prn1_4	Intensity.Prn1_H2O2_1	Intensity.Prn1_H2O2_2	Intensity.Prn1_H2O2_3	Intensity.Prn1_H2O2_4	Intensity.WT_H2O2_1	Intensity.WT_H2O2_2	Intensity.WT_H2O2_3	Intensity.WT_H2O2_4	Intensity.WT1	Intensity.WT2	Intensity.WT3	Intensity.WT4	Only.identified.by.site	Reverse	Potential.contaminant
orf19.4869	orf19.4869 SFU1 CGDID:CAL0005442 COORDS:Ca21chr1_C_albicans_SC5314:2195405-2196958W, translated using codon table 12 (517 amino acids) Verified ORF; GATA-type transcription factor; regulator of iron-responsive genes; represses iron utilization genes if iro	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3978300	0	0	0			
orf19.4878	orf19.4878 orf19.4878 CGDID:CAL0005472 COORDS:Ca21chr1_C_albicans_SC5314:2212048-2209502C, translated using codon table 12 (848 amino acids) Uncharacterized ORF; Protein of unknown function; Hap43-repressed; rat catheter biofilm repressed	13	8	10	11	9	9	7	13	7	10	8	7	9	7	8	12	13	8	10	11	9	9	7	13	7	10	8	7	9	7	8	12	180300000	85816000	137840000	143550000	125810000	174770000	86661000	190570000	84966000	119040000	91467000	78867000	222690000	107200000	99640000	158270000			
orf19.4879.2	orf19.4879.2 NTF2 CGDID:CAF0007025 COORDS:Ca21chr1_C_albicans_SC5314:2212873-2212390C, translated using codon table 12 (124 amino acids) Uncharacterized ORF; Putative nuclear envelope protein; regulated by Ssn6; rat catheter biofilm repressed	5	5	6	7	7	5	6	7	6	7	5	6	5	6	7	7	5	5	6	7	7	5	6	7	6	7	5	6	5	6	7	7	2886600000	3698199999.9999995	4108799999.9999995	3164099999.9999995	3380999999.9999995	2430500000	4493500000	3082599999.9999995	3433699999.9999995	3778599999.9999995	3092599999.9999995	3309699999.9999995	3437399999.9999995	3335799999.9999995	2892000000	3117899999.9999995			
orf19.4885	orf19.4885 MIR1 CGDID:CAL0005500 COORDS:Ca21chr1_C_albicans_SC5314:2236380-2237303W, translated using codon table 12 (307 amino acids) Verified ORF; Putative mitochondrial phosphate transporter; caspofungin repressed; expression is increased in a fluconazo	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	7397900	0	0	0	7183000	11865000	8222800	0	0	8299600	9784100	0	0	0	0			
orf19.4896	orf19.4896 RPA34 CGDID:CAL0005526 COORDS:Ca21chr1_C_albicans_SC5314:2267063-2266341C, translated using codon table 12 (240 amino acids) Uncharacterized ORF; Putative RNA polymerase I subunit; rat catheter biofilm induced	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	2	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	2	4276200	5468500	10351000	9281100	17742000	15056000	24689000	29044000	4701400	8487100	22733000	35493000	10552000	5699300	9764700	20479000			
orf19.4898	orf19.4898 orf19.4898 CGDID:CAL0005529 COORDS:Ca21chr1_C_albicans_SC5314:2269357-2268668C, translated using codon table 12 (229 amino acids) Uncharacterized ORF; Putative protein of unknown function; induced by prostaglandins	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	5012800	0	0	0	14075000	5284600	12172000	0	12621000	13316000	7352800	7971500	6447200	7002300	4467400	5430700			
orf19.4909.1	orf19.4909.1 RPL42 CGDID:CAF0007026 COORDS:Ca21chr1_C_albicans_SC5314:2300710-2300032C, translated using codon table 12 (106 amino acids) Uncharacterized ORF; Putative 60S ribosomal subunit protein; colony morphology-related gene regulation by Ssn6; Spider	4	4	4	4	4	3	2	3	4	3	3	3	4	4	3	3	4	4	4	4	4	3	2	3	4	3	3	3	4	4	3	3	611840000	440370000	428620000	445930000	312500000	247460000	53914000	355130000	392750000	319710000	296830000	361930000	289450000	317920000	284620000	339910000			
orf19.4913	orf19.4913 orf19.4913 CGDID:CAL0006227 COORDS:Ca21chr1_C_albicans_SC5314:2796467-2792838C, translated using codon table 12 (1209 amino acids) Uncharacterized ORF; Protein of unknown function	1	1	1	2	0	0	1	2	1	0	0	1	1	2	2	1	1	1	1	2	0	0	1	2	1	0	0	1	1	2	2	1	28294000	60209000	17149000	95859000	0	0	37867000	56050000	82087000	0	0	35091000	40134000	67221000	63571000	47427000			
orf19.4914.1	orf19.4914.1 BLP1 CGDID:CAL0120801 COORDS:Ca21chr1_C_albicans_SC5314:2799928-2800161W, translated using codon table 12 (77 amino acids) Uncharacterized ORF; Protein of unknown function, serum-induced	2	1	0	0	2	2	3	0	1	2	0	1	1	4	0	0	2	1	0	0	2	2	3	0	1	2	0	1	1	4	0	0	31882000	13783000	0	0	36561000	26691000	41524000	0	11776000	16764000	0	27490000	17128000	51681000	0	0			
orf19.492	orf19.492 ADE17 CGDID:CAL0005864 COORDS:Ca21chrR_C_albicans_SC5314:919622-917844C, translated using codon table 12 (592 amino acids) Uncharacterized ORF; 5-Aminoimidazole-4-carboxamide ribotide transformylase, enzyme of adenine biosynthesis; antigenic in h	38	41	41	41	39	38	37	38	35	37	38	37	38	40	41	41	38	41	41	41	39	38	37	38	35	37	38	37	38	40	41	41	11886000000	12245000000	14508000000	11376000000	7709499999.999999	6742899999.999999	9065500000	9685600000	6997599999.999999	6810799999.999999	9764700000	10966000000	6959899999.999999	10701000000	10035000000	11270000000			
orf19.4929	orf19.4929 orf19.4929 CGDID:CAL0006262 COORDS:Ca21chr1_C_albicans_SC5314:2832089-2835613W, translated using codon table 12 (1174 amino acids) Uncharacterized ORF; Protein of unknown function	3	2	1	1	1	1	1	0	1	1	0	1	0	1	1	0	3	2	1	1	1	1	1	0	1	1	0	1	0	1	1	0	160580000	19510000	9735400	6872200	9624300	4698400	5099000	0	5776400	18919000	0	4986600	0	4753500	70994000	0			
orf19.493	orf19.493 RPL15A CGDID:CAL0005866 COORDS:Ca21chrR_C_albicans_SC5314:921025-920411C, translated using codon table 12 (204 amino acids) Uncharacterized ORF; Putative ribosomal protein; repressed upon phagocytosis by murine macrophage; positively regulated by	10	11	10	10	11	9	9	9	9	11	9	9	12	11	10	10	10	11	10	10	11	9	9	9	9	11	9	9	12	11	10	10	14885000000	13572000000	13242000000	10411000000	8709400000	6280199999.999999	7791899999.999999	7880799999.999999	14746000000	10735000000	7621199999.999999	8362299999.999999	8407799999.999999	10331000000	8598700000	8785100000			
orf19.4931	orf19.4931 orf19.4931 CGDID:CAL0006275 COORDS:Ca21chr1_C_albicans_SC5314:2838889-2836544C, translated using codon table 12 (781 amino acids) Uncharacterized ORF; Putative tRNA-Cys synthetase; induced by alpha pheromone in SpiderM medium; ribosomal subunits	1	0	3	10	1	2	4	1	1	1	1	4	3	1	9	2	1	0	3	10	1	2	4	1	1	1	1	4	3	1	9	2	10715000	0	36704000	131010000	12465000	24235000	34761000	17074000	8717300	778400	12922000	30308000	15517000	0	60010000	15697000			
orf19.4931.1	orf19.4931.1 RPL14 CGDID:CAF0007027 COORDS:Ca21chr1_C_albicans_SC5314:2839943-2840692W, translated using codon table 12 (131 amino acids) Verified ORF; Ribosomal protein L14; promoter bound directly by Tbf1p; Hap43p-induced gene	13	14	13	11	13	12	9	12	13	13	13	13	12	12	11	12	13	14	13	11	13	12	9	12	13	13	13	13	12	12	11	12	10949000000	9918800000	9018600000	11669000000	8078599999.999999	4826400000	2435100000	6370199999.999999	14211000000	8566999999.999999	8453999999.999999	10506000000	5640100000	7859499999.999999	5486900000	5773900000			
orf19.4932	orf19.4932 orf19.4932 CGDID:CAL0006276 COORDS:Ca21chr1_C_albicans_SC5314:2843438-2841153C, translated using codon table 12 (761 amino acids) Uncharacterized ORF; Protein of unknown function	2	4	10	10	3	3	10	10	3	4	12	10	2	3	10	9	2	4	10	10	3	3	10	10	3	4	12	10	2	3	10	9	16224000	35969000	230830000	259450000	19390000	22754000	194120000	196220000	27209000	50569000	227910000	233720000	14406000	33811000	224970000	206700000			
orf19.494	orf19.494 orf19.494 CGDID:CAL0005870 COORDS:Ca21chrR_C_albicans_SC5314:921819-923564W, translated using codon table 12 (581 amino acids) Uncharacterized ORF; Putative RNA-binding protein; role in assembly of box H/ACA snoRNPs and thus pre-rRNA processing; 	1	1	1	1	1	0	1	0	0	2	2	2	1	1	1	1	1	1	1	1	1	0	1	0	0	2	2	2	1	1	1	1	0	21046000	17608000	13128000	13829000	0	2729600	0	0	23453000	13831000	15725000	15304000	14074000	14791000	8875400			
orf19.4943	orf19.4943 PSA2 CGDID:CAL0006302 COORDS:Ca21chr1_C_albicans_SC5314:2874278-2875654W, translated using codon table 12 (458 amino acids) Uncharacterized ORF; Mannose-1-phosphate guanyltransferase; Hap43, macrophage-repressed; stationary phase enriched protei	1	0	1	1	0	0	0	4	0	0	5	4	0	0	0	1	1	0	1	1	0	0	0	4	0	0	5	4	0	0	0	1	26892000	0	9308600	4376400	0	0	0	45921000	0	0	104320000	66225000	0	0	0	9385500			
orf19.4952.1	orf19.4952.1 orf19.4952.1 CGDID:CAF0007028 COORDS:Ca21chr1_C_albicans_SC5314:2893446-2894008W, translated using codon table 12 (151 amino acids) Uncharacterized ORF; Protein of unknown function	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	428160000	467490000	539020000	411700000	405470000	325860000	561430000	361880000	362550000	493140000	382780000	448350000	579540000	483040000	62686000	365410000			
orf19.4956	orf19.4956 RPN1 CGDID:CAL0006334 COORDS:Ca21chr1_C_albicans_SC5314:2901442-2898458C, translated using codon table 12 (994 amino acids) Uncharacterized ORF; Putative 19S regulatory particle of the 26S proteasome; regulated by Gcn2p and Gcn4p	3	2	14	15	7	7	11	16	9	6	15	16	2	2	11	12	3	2	14	15	7	7	11	16	9	6	15	16	2	2	11	12	14674000	8053000	254020000	348960000	83039000	60139000	202160000	213110000	143110000	44832000	270750000	315860000	11663000	12860000	201050000	191670000			
orf19.4959	orf19.4959 orf19.4959 CGDID:CAL0006339 COORDS:Ca21chr1_C_albicans_SC5314:2906720-2904999C, translated using codon table 12 (573 amino acids) Uncharacterized ORF; Protein of unknown function; Spider biofilm repressed	3	2	3	5	2	1	1	1	0	3	2	1	2	2	3	3	3	2	3	5	2	1	1	1	0	3	2	1	2	2	3	3	39666000	43215000	77423000	67545000	29133000	19152000	15143000	15241000	0	40468000	25114000	17467000	101760000	55620000	49914000	62340000			
orf19.4960	orf19.4960 orf19.4960 CGDID:CAL0006358 COORDS:Ca21chr1_C_albicans_SC5314:2908446-2907412C, translated using codon table 12 (344 amino acids) Uncharacterized ORF; Protein of unknown function	1	1	3	3	2	0	1	0	1	1	2	2	0	1	1	3	1	1	3	3	2	0	1	0	1	1	2	2	0	1	1	3	6317600	5011000	29752000	33162000	8390400	0	4216900	0	0	6680900	11721000	10894000	0	7065000	6466700	29634000			
orf19.4963	orf19.4963 orf19.4963 CGDID:CAL0006361 COORDS:Ca21chr1_C_albicans_SC5314:2915143-2916339W, translated using codon table 12 (398 amino acids) Uncharacterized ORF; Protein of unknown function	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	7318200	47114000	6917300	0	0	0	0	4838300	0	0	117700000	0			
orf19.4964	orf19.4964 orf19.4964 CGDID:CAL0006363 COORDS:Ca21chr1_C_albicans_SC5314:2916611-2917456W, translated using codon table 12 (281 amino acids) Uncharacterized ORF; Protein of unknown function	0	0	1	1	2	1	0	1	0	1	0	0	2	1	2	0	0	0	1	1	2	1	0	1	0	1	0	0	2	1	2	0	0	0	7021500	0	9136500	4907200	0	5561400	0	4638600	0	0	11203000	11644000	11273000	0			
orf19.4967	orf19.4967 COX19 CGDID:CAL0006369 COORDS:Ca21chr1_C_albicans_SC5314:2925549-2926017W, translated using codon table 12 (132 amino acids) Uncharacterized ORF; Putative cytochrome c oxidase assembly protein; Plc1-regulated; rat catheter biofilm induced	1	2	2	1	1	1	2	2	1	1	0	2	1	2	1	2	1	2	2	1	1	1	2	2	1	1	0	2	1	2	1	2	14534000	28089000	27686000	6724300	12715000	15932000	24008000	19706000	5172800	15506000	0	21307000	16748000	26351000	11244000	27507000			
orf19.4969	orf19.4969 KEM1 CGDID:CAL0006374 COORDS:Ca21chr1_C_albicans_SC5314:2930787-2926204C, translated using codon table 12 (1503 amino acids) Verified ORF; 5->3 exoribonuclease of cytoplasmic stress granules; role in filamentous growth; complements slow growth	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11287000	11950000	14227000	11723000	20833000	9509700	27973000	16017000	9714300	16924000	16143000	16307000	16645000	11987000	0	15625000			
orf19.497	orf19.497 EAF7 CGDID:CAL0005877 COORDS:Ca21chrR_C_albicans_SC5314:927984-926647C, translated using codon table 12 (445 amino acids) Verified ORF; Subunit of the NuA4 histone acetyltransferase complex	1	0	0	0	1	0	0	2	0	0	2	1	0	0	1	0	1	0	0	0	1	0	0	2	0	0	2	1	0	0	1	0	6710900	0	0	0	2240200	0	0	12409000	0	0	10888000	5458400	0	0	3277400	0			
orf19.498	orf19.498 orf19.498 CGDID:CAL0005880 COORDS:Ca21chrR_C_albicans_SC5314:928322-929707W, translated using codon table 12 (461 amino acids) Uncharacterized ORF; Putative mitochondrial ribosomal component of the small subunit; possibly an essential gene, disru	9	8	9	11	9	7	5	7	10	10	5	8	3	7	7	8	9	8	9	11	9	7	5	7	10	10	5	8	3	7	7	8	201650000	255430000	319200000	216320000	213660000	117370000	50657000	102640000	219420000	238410000	64952000	95453000	26479000	137600000	129850000	197960000			
orf19.4980	orf19.4980 HSP70 CGDID:CAL0000006 COORDS:Ca21chr1_C_albicans_SC5314:2955762-2957732W, translated using codon table 12 (656 amino acids) Verified ORF; Putative hsp70 chaperone; role in entry into host cells; heat-shock, amphotericin B, cadmium, ketoconazole	10	11	10	10	13	13	10	10	10	12	12	10	12	12	11	10	9	10	9	9	12	12	9	9	9	11	11	9	11	11	10	9	2159400000	2335400000	1891199999.9999998	1789999999.9999998	3845699999.9999995	3028199999.9999995	618810000	2074799999.9999998	3465299999.9999995	4659000000	2108599999.9999998	1458099999.9999998	2428700000	2544200000	1611599999.9999998	2129299999.9999998			
orf19.500	orf19.500 orf19.500 CGDID:CAL0000045 COORDS:Ca21chrR_C_albicans_SC5314:932345-930984C, translated using codon table 12 (453 amino acids) Uncharacterized ORF; Protein of unknown function	0	0	2	3	0	0	0	3	0	0	2	4	0	0	2	0	0	0	2	3	0	0	0	3	0	0	2	4	0	0	2	0	0	0	31019000	50740000	0	0	0	44456000	0	0	16295000	52486000	0	0	27502000	0			
orf19.5005	orf19.5005 OSM2 CGDID:CAL0001569 COORDS:Ca21chr1_C_albicans_SC5314:3006473-3008419W, translated using codon table 12 (648 amino acids) Uncharacterized ORF; Putative mitochondrial fumarate reductase; regulated by Ssn6p, Gcn2p, and Gcn4p; Hog1p-downregulated	1	2	6	11	0	0	0	2	0	0	0	1	2	4	8	6	1	2	6	11	0	0	0	2	0	0	0	1	2	4	8	6	22364000	57860000	154220000	352800000	0	0	0	22951000	0	0	0	8599500	50568000	75750000	229860000	165740000			
orf19.5006	orf19.5006 GCV3 CGDID:CAL0001570 COORDS:Ca21chr1_C_albicans_SC5314:3009024-3008491C, translated using codon table 12 (177 amino acids) Uncharacterized ORF; Glycine decarboxylase, subunit H; protein level decrease in stationary phase cultures	8	8	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	8	8	8	8	8	8	8	3891699999.9999995	3477299999.9999995	2473400000	2061299999.9999998	2396500000	2820000000	3327999999.9999995	4483900000	2004899999.9999998	2494800000	3053499999.9999995	2795800000	5484800000	4438700000	2462700000	3864099999.9999995			
orf19.5007	orf19.5007 ACT1 CGDID:CAL0001571 COORDS:Ca21chr1_C_albicans_SC5314:3011464-3013252W, translated using codon table 12 (376 amino acids) Verified ORF; Actin; gene has intron; transcript regulated by growth phase, starvation; at polarized growth site in buddi	7	7	19	20	7	6	13	16	10	8	19	20	7	6	20	18	7	7	19	20	7	6	13	16	10	8	19	20	7	6	20	18	373420000	319350000	5825900000	5623700000	347220000	254090000	1870399999.9999998	3387299999.9999995	524450000	360300000	3911299999.9999995	2558200000	317550000	240960000	4516800000	3977199999.9999995			
orf19.5008.1	orf19.5008.1 DAD1 CGDID:CAF0007030 COORDS:Ca21chr1_C_albicans_SC5314:3013825-3013526C, translated using codon table 12 (99 amino acids) Verified ORF; Subunit of the Dam1 (DASH) complex, which acts in chromosome segregation by coupling kinetochores to spind	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	4419900	0	0	1881900	3582300	4043000	0	3644300	3675400	2796900	0	2037000	0	2190500			
orf19.501	orf19.501 orf19.501 CGDID:CAL0000046 COORDS:Ca21chrR_C_albicans_SC5314:932645-934501W, translated using codon table 12 (618 amino acids) Uncharacterized ORF; Protein of unknown function	0	2	9	9	2	4	5	7	1	3	3	6	1	1	6	9	0	2	9	9	2	4	5	7	1	3	3	6	1	1	6	9	0	154280000	324790000	138620000	13477000	22898000	21120000	84055000	9133600	33220000	27485000	44415000	5428600	244610000	92933000	123080000			
orf19.5013	orf19.5013 AGM1 CGDID:CAL0001593 COORDS:Ca21chr1_C_albicans_SC5314:3021071-3022705W, translated using codon table 12 (544 amino acids) Uncharacterized ORF; Phosphoacetylglucosamine mutase (N-acetylglucosamine-phosphate mutase); enzyme of UDP-N-acetylglucos	12	10	13	13	11	13	8	12	14	12	11	9	12	12	13	16	12	10	13	13	11	13	8	12	14	12	11	9	12	12	13	16	502810000	440250000	761170000	597060000	512590000	493870000	301890000	471160000	619760000	480250000	426890000	379760000	471120000	382630000	544610000	642980000			
orf19.5016	orf19.5016 orf19.5016 CGDID:CAL0001596 COORDS:Ca21chr1_C_albicans_SC5314:3031406-3031041C, translated using codon table 12 (121 amino acids) Uncharacterized ORF; Protein of unknown function	3	3	4	3	3	1	4	1	3	3	0	0	1	2	3	2	3	3	4	3	3	1	4	1	3	3	0	0	1	2	3	2	71470000	83479000	100030000	91775000	82551000	32991000	107520000	10913000	78982000	91112000	0	0	52213000	44980000	74018000	18770000			
orf19.5020	orf19.5020 orf19.5020 CGDID:CAL0001614 COORDS:Ca21chr1_C_albicans_SC5314:3038662-3037640C, translated using codon table 12 (340 amino acids) Uncharacterized ORF; Protein of unknown function; Hap43-induced; Spider biofilm induced	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	2	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	2	0	1173500	0	0	0	4220600	0	0	0	1041600	5490500	5950400	5364000	0	0	7749700			
orf19.5021	orf19.5021 PDX1 CGDID:CAL0001615 COORDS:Ca21chr1_C_albicans_SC5314:3040358-3039105C, translated using codon table 12 (417 amino acids) Verified ORF; Pyruvate dehydrogenase complex protein X; essential component of the mitochondrial pyruvate dehydrogenase c	21	17	21	18	21	19	17	16	21	19	12	17	21	18	17	15	21	17	21	18	21	19	17	16	21	19	12	17	21	18	17	15	2678400000	2029999999.9999998	3024799999.9999995	2916599999.9999995	2326600000	2052899999.9999998	1270300000	1186800000	2308100000	2563300000	1026499999.9999999	1415300000	2107099999.9999998	2467200000	1963899999.9999998	2079699999.9999998			
orf19.5024	orf19.5024 GND1 CGDID:CAL0001618 COORDS:Ca21chr1_C_albicans_SC5314:3048182-3045995C, translated using codon table 12 (495 amino acids) Verified ORF; 6-phosphogluconate dehydrogenase; soluble in hyphae; farnesol, macrophage-induced protein; antigenic in mic	35	38	40	42	39	36	36	39	39	41	36	37	33	35	40	35	35	38	40	42	39	36	36	39	39	41	36	37	33	35	40	35	23396000000	20948000000	24609000000	22356000000	25702000000	27766000000	15933000000	20817000000	31009000000	20501000000	22782000000	21464000000	17598000000	17298000000	20121000000	18164000000			
orf19.5025	orf19.5025 MET3 CGDID:CAL0001619 COORDS:Ca21chr1_C_albicans_SC5314:3051624-3053207W, translated using codon table 12 (527 amino acids) Uncharacterized ORF; ATP sulfurlyase; sulfate assimilation; repressed by Met, Cys, Sfu1, or in fluconazole-resistant isol	15	17	15	18	15	15	4	5	14	16	11	2	12	15	16	13	15	17	15	18	15	15	4	5	14	16	11	2	12	15	16	13	866600000	1447200000	1040299999.9999999	988660000	700580000	545140000	51344000	34766000	636700000	1251900000	190180000	18562000	388980000	1162100000	888470000	632440000			
orf19.5029	orf19.5029 MODF CGDID:CAL0001623 COORDS:Ca21chr1_C_albicans_SC5314:3065571-3063934C, translated using codon table 12 (545 amino acids) Uncharacterized ORF; Protein of unknown function	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	8884700	24564000	961610	0	0	0	0	0	0	14875000	0	2172500			
orf19.5030	orf19.5030 DOS2 CGDID:CAL0001640 COORDS:Ca21chr1_C_albicans_SC5314:3066059-3067138W, translated using codon table 12 (359 amino acids) Uncharacterized ORF; Protein of unknown function; induced during planktonic growth	7	6	1	1	7	5	5	1	4	7	1	1	7	6	1	1	7	6	1	1	7	5	5	1	4	7	1	1	7	6	1	1	102220000	97195000	15530000	9541000	78738000	57989000	52042000	12673000	43656000	99399000	13809000	11954000	105380000	110580000	0	8453000			
orf19.5032	orf19.5032 SIM1 CGDID:CAL0001642 COORDS:Ca21chr1_C_albicans_SC5314:3074225-3075343W, translated using codon table 12 (372 amino acids) Verified ORF; Adhesin-like protein; involved in cell wall maintenance, redundant with Sun41; possibly secreted; macrophag	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	11745000	0	21070000	17624000	0	0	20191000	8841600	16949000	12725000	0	0	15871000	14719000	13909000	0			
orf19.5038	orf19.5038 orf19.5038 CGDID:CAL0001648 COORDS:Ca21chr4_C_albicans_SC5314:812074-816396W, translated using codon table 12 (1440 amino acids) Uncharacterized ORF; Predicted tRNA (guanine) methyltransferase activity; Spider biofilm induced	1	2	2	1	1	0	1	0	1	2	1	1	2	2	1	2	1	2	2	1	1	0	1	0	1	2	1	1	2	2	1	2	289330000	387960000	353880000	59289000	18279000	0	258000000	0	423070000	43572000	6175000	171320000	460690000	458820000	43701000	328780000			
orf19.5039	orf19.5039 RRP42 CGDID:CAL0001650 COORDS:Ca21chr4_C_albicans_SC5314:817412-816489C, translated using codon table 12 (307 amino acids) Uncharacterized ORF; Putative exosome non-catalytic core component; involved in 3-5 RNA processing; rat catheter biofilm	0	0	2	4	0	0	0	0	0	0	0	0	0	0	3	3	0	0	2	4	0	0	0	0	0	0	0	0	0	0	3	3	0	0	49180000	69592000	0	0	0	0	0	0	0	0	0	0	42336000	37652000			
orf19.5040	orf19.5040 orf19.5040 CGDID:CAL0001665 COORDS:Ca21chr4_C_albicans_SC5314:818048-819826W, translated using codon table 12 (592 amino acids) Uncharacterized ORF; Protein of unknown function	1	1	1	1	1	1	2	1	1	2	1	2	3	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	3	1	1	1	10170000	12075000	9783600	4769800	9581800	9312400	21993000	10438000	10549000	19333000	8369600	16444000	27191000	13132000	8581600	7278700			
orf19.5054	orf19.5054 orf19.5054 CGDID:CAL0001685 COORDS:Ca21chr1_C_albicans_SC5314:1707564-1708466W, translated using codon table 12 (300 amino acids) Uncharacterized ORF; Putative quinolinate phosphoribosyl transferase, involved in NAD biosynthesis; Hap43p-represse	10	8	8	7	5	5	6	7	9	8	6	7	7	7	5	7	10	8	8	7	5	5	6	7	9	8	6	7	7	7	5	7	242110000	290640000	299070000	232720000	283140000	158010000	259510000	213070000	417590000	211350000	176470000	210140000	184470000	196010000	127420000	185680000			
orf19.5058	orf19.5058 SMI1 CGDID:CAL0001688 COORDS:Ca21chr1_C_albicans_SC5314:1713620-1711758C, translated using codon table 12 (620 amino acids) Verified ORF; Cell wall biosynthesis protein; Hap43, caspofungin-repressed; Cyr1-induced in hyphal cells; reduced biofilm	3	1	5	4	2	2	2	2	2	3	3	3	2	3	2	4	3	1	5	4	2	2	2	2	2	3	3	3	2	3	2	4	27275000	10532000	44756000	41189000	7063100	16970000	14815000	13867000	9166700	37440000	30446000	33985000	19486000	21326000	18666000	42667000			
orf19.5059	orf19.5059 GCS1 CGDID:CAL0001690 COORDS:Ca21chr1_C_albicans_SC5314:1717055-1714737C, translated using codon table 12 (772 amino acids) Verified ORF; Gamma-glutamylcysteine synthetase; glutathione synthesis, required for virulence;induced in low iron, H2O2,	1	1	6	5	1	1	0	0	1	2	1	0	0	0	4	3	1	1	6	5	1	1	0	0	1	2	1	0	0	0	4	3	1645600	2735500	76091000	79153000	10706000	8078900	0	0	866830	12738000	5683900	0	0	0	40336000	35589000			
orf19.506	orf19.506 YDJ1 CGDID:CAL0000049 COORDS:Ca21chrR_C_albicans_SC5314:939273-940454W, translated using codon table 12 (393 amino acids) Uncharacterized ORF; Putative type I HSP40 co-chaperone; heavy metal (cadmium) stress-induced	3	4	4	2	5	7	7	5	4	7	5	5	4	5	2	3	3	4	4	2	5	7	7	5	4	7	5	5	4	5	2	3	57937000	65494000	57060000	22494000	54251000	81104000	96514000	86683000	61635000	100550000	76850000	142390000	87385000	93093000	132710000	11956000			
orf19.5061	orf19.5061 ADE5,7 CGDID:CAL0001714 COORDS:Ca21chr1_C_albicans_SC5314:1720995-1718587C, translated using codon table 12 (802 amino acids) Verified ORF; Phosphoribosylamine-glycine ligase and phosphoribosylformylglycinamidine cyclo-ligase; interacts with Vps	25	25	31	32	19	15	12	17	19	19	20	19	17	21	31	30	25	25	31	32	19	15	12	17	19	19	20	19	17	21	31	30	1760399999.9999998	1745099999.9999998	3713299999.9999995	3435999999.9999995	640600000	537740000	350350000	480680000	760160000	688510000	661820000	609300000	798270000	1431100000	2607600000	2956099999.9999995			
orf19.5063	orf19.5063 COI1 CGDID:CAL0001718 COORDS:Ca21chr1_C_albicans_SC5314:1722918-1723493W, translated using codon table 12 (191 amino acids) Verified ORF; Secreted protein; ciclopirox olamine induced; regulated by Ssn6; induced by nitric oxide independent of Yhb	2	2	2	0	0	2	3	2	1	1	1	3	3	2	2	2	2	2	2	0	0	2	3	2	1	1	1	3	3	2	2	2	19252000	13189000	55060000	0	0	59475000	72798000	23135000	9406100	3438600	10791000	50957000	41661000	20649000	39847000	27772000			
